[PngImagePlugin.py:190] - 2023-07-06 00:28:41,607 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-07-06 00:28:41,607 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-07-06 00:28:41,608 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-07-06 00:28:41,608 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-07-06 00:28:41,608 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-07-06 00:28:41,608 - DEBUG - STREAM b'IDAT' 91 1063
[builder.pyw:425] - 2023-07-06 00:44:54,179 - INFO - Retrieved filename: arabic grabber
[builder.pyw:394] - 2023-07-06 00:44:54,179 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 00:44:54,179 - INFO - Changed filetype: cxfreeze
[builder.pyw:394] - 2023-07-06 00:44:54,179 - INFO - Changed filetype: cxfreeze
[builder.pyw:445] - 2023-07-06 00:44:54,188 - INFO - Successfully changed config
[builder.pyw:517] - 2023-07-06 00:45:05,547 - INFO - Successfully compiled arabic grabber.exe with cxfreeze
[admin.py:29] - 2023-07-06 00:45:17,469 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-07-06 00:45:17,469 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-07-06 00:45:17,475 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\jonga\\AppData\\Local\\Programs\\Python\\Python311\\python.exe', 'C:\\Users\\jonga\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-07-06 00:45:17,475 - INFO - Running command 'C:\\Users\\jonga\\AppData\\Local\\Programs\\Python\\Python311\\python.exe' - 'C:\\Users\\jonga\\Downloads\\Luna-Grabber-main\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-07-06 00:45:19,508 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-07-06 00:45:19,632 - DEBUG - STREAM b'IHDR' 16 13
